time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-01T00:00:00.0000000Z,2021-08-01T00:15:00.0000000Z,2021-08-01T00:00:02.0670000Z,2021-08-01T00:14:58.5972690Z,1.32026,1.3216,1.312,1.3169,1000773.34289538,1043
2021-08-01T00:15:00.0000000Z,2021-08-01T00:30:00.0000000Z,2021-08-01T00:15:01.3991690Z,2021-08-01T00:29:51.0747750Z,1.3178,1.3325,1.3159,1.3319,769686.95084513,882
2021-08-01T00:30:00.0000000Z,2021-08-01T00:45:00.0000000Z,2021-08-01T00:30:00.0242380Z,2021-08-01T00:44:58.4470000Z,1.3319,1.346747,1.3288,1.346747,1535806.07558034,1809
2021-08-01T00:45:00.0000000Z,2021-08-01T01:00:00.0000000Z,2021-08-01T00:45:01.0327590Z,2021-08-01T00:59:59.3857820Z,1.3462,1.350579,1.3419,1.3494,1736680.42453038,1712
2021-08-01T01:00:00.0000000Z,2021-08-01T01:15:00.0000000Z,2021-08-01T01:00:00.3620000Z,2021-08-01T01:14:58.9800000Z,1.349899,1.352,1.3444,1.35,1432049.15951039,1347
2021-08-01T01:15:00.0000000Z,2021-08-01T01:30:00.0000000Z,2021-08-01T01:15:00.8440640Z,2021-08-01T01:29:52.7437580Z,1.3491,1.351,1.3372,1.341,1016020.1790879,1212
2021-08-01T01:30:00.0000000Z,2021-08-01T01:45:00.0000000Z,2021-08-01T01:30:00.0112200Z,2021-08-01T01:44:57.0432390Z,1.3415,1.3452,1.34,1.3414,780815.37400246,872
2021-08-01T01:45:00.0000000Z,2021-08-01T02:00:00.0000000Z,2021-08-01T01:45:06.4869920Z,2021-08-01T01:59:58.1591540Z,1.3414,1.3437,1.3388,1.3415,700649.35132536,866
2021-08-01T02:00:00.0000000Z,2021-08-01T02:15:00.0000000Z,2021-08-01T02:00:00.3640000Z,2021-08-01T02:14:58.1274550Z,1.341346,1.3489,1.341346,1.3454,665011.48357946,928
2021-08-01T02:15:00.0000000Z,2021-08-01T02:30:00.0000000Z,2021-08-01T02:15:01.0260000Z,2021-08-01T02:29:56.4388050Z,1.345572,1.3565,1.3453,1.3564,766014.19542908,1147
2021-08-01T02:30:00.0000000Z,2021-08-01T02:45:00.0000000Z,2021-08-01T02:30:00.4845990Z,2021-08-01T02:44:59.9576790Z,1.3561,1.362,1.3525,1.3597,1219868.24061355,1627
2021-08-01T02:45:00.0000000Z,2021-08-01T03:00:00.0000000Z,2021-08-01T02:45:00.7711390Z,2021-08-01T02:59:58.5829120Z,1.3597,1.37,1.3575,1.37,1898980.64445453,1810
2021-08-01T03:00:00.0000000Z,2021-08-01T03:15:00.0000000Z,2021-08-01T03:00:00.4040000Z,2021-08-01T03:14:59.7110000Z,1.369392,1.37,1.359702,1.360602,1401684.16534027,1317
2021-08-01T03:15:00.0000000Z,2021-08-01T03:30:00.0000000Z,2021-08-01T03:15:01.0200060Z,2021-08-01T03:29:59.5248660Z,1.361,1.374,1.3607,1.3736,1012391.87971347,1383
2021-08-01T03:30:00.0000000Z,2021-08-01T03:45:00.0000000Z,2021-08-01T03:30:00.9203830Z,2021-08-01T03:44:59.6640000Z,1.3738,1.388001,1.369509,1.388,2249760.94521791,2505
2021-08-01T03:45:00.0000000Z,2021-08-01T04:00:00.0000000Z,2021-08-01T03:45:00.0350860Z,2021-08-01T03:59:59.3521370Z,1.3874,1.3893,1.3801,1.3814,1693566.61140871,1825
2021-08-01T04:00:00.0000000Z,2021-08-01T04:15:00.0000000Z,2021-08-01T04:00:00.9976330Z,2021-08-01T04:14:59.7833180Z,1.3814,1.3876,1.3794,1.3873,1227450.65374742,1344
2021-08-01T04:15:00.0000000Z,2021-08-01T04:30:00.0000000Z,2021-08-01T04:15:00.3710990Z,2021-08-01T04:29:59.1632090Z,1.3869,1.3889,1.37954,1.382,1022271.39999598,1310
2021-08-01T04:30:00.0000000Z,2021-08-01T04:45:00.0000000Z,2021-08-01T04:30:00.0321100Z,2021-08-01T04:44:59.1550590Z,1.3814,1.3814,1.3729,1.3758,1052446.84697234,1271
2021-08-01T04:45:00.0000000Z,2021-08-01T05:00:00.0000000Z,2021-08-01T04:45:01.4333950Z,2021-08-01T04:59:59.4303230Z,1.3759,1.3814,1.375,1.375,851236.97527943,892
2021-08-01T05:00:00.0000000Z,2021-08-01T05:15:00.0000000Z,2021-08-01T05:00:01.6790260Z,2021-08-01T05:14:59.2557100Z,1.3748,1.3864,1.3616,1.3631,1273740.78153765,1482
2021-08-01T05:15:00.0000000Z,2021-08-01T05:30:00.0000000Z,2021-08-01T05:15:01.7504560Z,2021-08-01T05:29:54.7165190Z,1.363,1.3694,1.3616,1.3642,775120.60867023,993
2021-08-01T05:30:00.0000000Z,2021-08-01T05:45:00.0000000Z,2021-08-01T05:30:01.1738860Z,2021-08-01T05:44:58.8180870Z,1.3635,1.3736,1.3623,1.3686,668064.85019976,805
2021-08-01T05:45:00.0000000Z,2021-08-01T06:00:00.0000000Z,2021-08-01T05:45:08.3282630Z,2021-08-01T05:59:59.0608740Z,1.3681,1.3702,1.3649,1.3673,365240.34227413,553
2021-08-01T06:00:00.0000000Z,2021-08-01T06:15:00.0000000Z,2021-08-01T06:00:00.1512540Z,2021-08-01T06:14:55.5107180Z,1.3673,1.3678,1.358227,1.3612,575019.34908727,884
2021-08-01T06:15:00.0000000Z,2021-08-01T06:30:00.0000000Z,2021-08-01T06:15:02.6583610Z,2021-08-01T06:29:58.4788830Z,1.3617,1.3662,1.3612,1.3624,426767.43186771,540
2021-08-01T06:30:00.0000000Z,2021-08-01T06:45:00.0000000Z,2021-08-01T06:30:02.2187200Z,2021-08-01T06:44:57.0415090Z,1.3625,1.3671,1.3612,1.3628,324793.01079418,564
2021-08-01T06:45:00.0000000Z,2021-08-01T07:00:00.0000000Z,2021-08-01T06:45:04.8111410Z,2021-08-01T06:59:55.0159440Z,1.3632,1.3819,1.3631,1.3767,829582.61431176,989
2021-08-01T07:00:00.0000000Z,2021-08-01T07:15:00.0000000Z,2021-08-01T07:00:00.5543350Z,2021-08-01T07:14:56.2294060Z,1.3769,1.3808,1.372,1.3738,550840.24848206,566
2021-08-01T07:15:00.0000000Z,2021-08-01T07:30:00.0000000Z,2021-08-01T07:15:01.6969260Z,2021-08-01T07:29:56.2186050Z,1.374,1.374,1.3652,1.3691,223085.09665326,484
2021-08-01T07:30:00.0000000Z,2021-08-01T07:45:00.0000000Z,2021-08-01T07:30:01.7649680Z,2021-08-01T07:44:57.7009250Z,1.3691,1.3739,1.3677,1.3703,272975.95403637,506
2021-08-01T07:45:00.0000000Z,2021-08-01T08:00:00.0000000Z,2021-08-01T07:45:03.9176330Z,2021-08-01T07:59:45.6785380Z,1.3706,1.372,1.3618,1.3637,360265.59422383,549
2021-08-01T08:00:00.0000000Z,2021-08-01T08:15:00.0000000Z,2021-08-01T08:00:00.3910000Z,2021-08-01T08:14:58.9675870Z,1.36384,1.3706,1.3622,1.367,275438.93253744,509
2021-08-01T08:15:00.0000000Z,2021-08-01T08:30:00.0000000Z,2021-08-01T08:15:00.3077460Z,2021-08-01T08:29:58.8416680Z,1.367,1.3709,1.366791,1.3691,181023.15951315,381
