time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-22T00:00:00.0000000Z,2021-08-22T00:15:00.0000000Z,2021-08-22T00:00:00.0974590Z,2021-08-22T00:14:59.6107960Z,48870.21,49060.91,48690.1,48912.75,300.70183091,4931
2021-08-22T00:15:00.0000000Z,2021-08-22T00:30:00.0000000Z,2021-08-22T00:15:00.4188770Z,2021-08-22T00:29:59.6992180Z,48912.58,48997.16,48754.08,48931.82,126.857631093,3264
2021-08-22T00:30:00.0000000Z,2021-08-22T00:45:00.0000000Z,2021-08-22T00:30:00.6490000Z,2021-08-22T00:44:59.1363620Z,48935.508,49061.42,48912.5,48987.54,107.960300979,2795
2021-08-22T00:45:00.0000000Z,2021-08-22T01:00:00.0000000Z,2021-08-22T00:45:00.1282950Z,2021-08-22T00:59:59.6915940Z,48989.88,49060.05,48837,49000.01,70.588252311,2379
2021-08-22T01:00:00.0000000Z,2021-08-22T01:15:00.0000000Z,2021-08-22T01:00:00.1589510Z,2021-08-22T01:14:59.8022660Z,49000,49046.4,48893.5,48923.75,71.185113466,2111
2021-08-22T01:15:00.0000000Z,2021-08-22T01:30:00.0000000Z,2021-08-22T01:15:00.3675670Z,2021-08-22T01:29:59.5024430Z,48923.75,49062.76,48905,49057.73,50.955301121,2098
2021-08-22T01:30:00.0000000Z,2021-08-22T01:45:00.0000000Z,2021-08-22T01:30:01.1670000Z,2021-08-22T01:44:59.8866960Z,49065.5,49204.35,49037.3,49155.34,130.968267836,2568
2021-08-22T01:45:00.0000000Z,2021-08-22T02:00:00.0000000Z,2021-08-22T01:45:00.3010000Z,2021-08-22T01:59:59.9241590Z,49153.5,49215.88,49044.26,49069.46,137.645553763,2778
2021-08-22T02:00:00.0000000Z,2021-08-22T02:15:00.0000000Z,2021-08-22T02:00:01.1256230Z,2021-08-22T02:14:58.7040980Z,49069.45,49088.76,48959,49001.63,83.428096517,2267
2021-08-22T02:15:00.0000000Z,2021-08-22T02:30:00.0000000Z,2021-08-22T02:15:00.3720000Z,2021-08-22T02:29:58.7545090Z,48999.503,49047.16,48869.2,48916.35,57.125248374,2201
2021-08-22T02:30:00.0000000Z,2021-08-22T02:45:00.0000000Z,2021-08-22T02:30:02.2100880Z,2021-08-22T02:44:59.6304790Z,48898.18,48910,48732.06,48787.75,131.41901806,2609
2021-08-22T02:45:00.0000000Z,2021-08-22T03:00:00.0000000Z,2021-08-22T02:45:00.3066090Z,2021-08-22T02:59:59.9130000Z,48791.21,48942.67,48775.91,48890.1,84.590625344,2389
