time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-01T00:00:00.0000000Z,2021-08-01T00:15:00.0000000Z,2021-08-01T00:00:00.5070530Z,2021-08-01T00:14:46.6613330Z,8183.1,8194.5,8086.8,8148.5,121.189,727
2021-08-01T00:15:00.0000000Z,2021-08-01T00:30:00.0000000Z,2021-08-01T00:15:01.5505030Z,2021-08-01T00:29:53.2935450Z,8148.8,8247,8144,8243.5,12.347,100
2021-08-01T00:30:00.0000000Z,2021-08-01T00:45:00.0000000Z,2021-08-01T00:30:06.2513060Z,2021-08-01T00:44:59.8407430Z,8242.4,8380.2,8228.8,8354.3,87.345,261
2021-08-01T00:45:00.0000000Z,2021-08-01T01:00:00.0000000Z,2021-08-01T00:45:00.5810790Z,2021-08-01T00:59:55.4213390Z,8354.2,8384.7,8354.1,8367.1,22.57,144
2021-08-01T01:00:00.0000000Z,2021-08-01T01:15:00.0000000Z,2021-08-01T01:00:10.6222570Z,2021-08-01T01:14:59.9710940Z,8372.3,8388.5,8332.6,8334.9,28.812,187
2021-08-01T01:15:00.0000000Z,2021-08-01T01:30:00.0000000Z,2021-08-01T01:15:30.0212900Z,2021-08-01T01:29:39.5836960Z,8342,8342,8278.6,8279.3,27.723,121
2021-08-01T01:30:00.0000000Z,2021-08-01T01:45:00.0000000Z,2021-08-01T01:30:06.5286570Z,2021-08-01T01:44:45.9277630Z,8281.8,8293.2,8272.7,8282.3,1.234,46
2021-08-01T01:45:00.0000000Z,2021-08-01T02:00:00.0000000Z,2021-08-01T01:45:42.3330040Z,2021-08-01T01:59:55.2322760Z,8284.9,8315.7,8282.1,8300.5,3.715,42
2021-08-01T02:00:00.0000000Z,2021-08-01T02:15:00.0000000Z,2021-08-01T02:00:05.4568150Z,2021-08-01T02:14:06.1109020Z,8300.2,8308.7,8280.2,8285.2,0.338,26
2021-08-01T02:15:00.0000000Z,2021-08-01T02:30:00.0000000Z,2021-08-01T02:15:16.2061590Z,2021-08-01T02:29:49.8557070Z,8281.2,8325.1,8273.8,8324.1,5.991,49
