time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-01T00:00:00.0000000Z,2021-08-01T00:15:00.0000000Z,2021-08-01T00:00:00.4036820Z,2021-08-01T00:14:25.6381350Z,7999.9,8018.9,7942.6,7997.8,41.315,114
2021-08-01T00:15:00.0000000Z,2021-08-01T00:30:00.0000000Z,2021-08-01T00:15:34.5936480Z,2021-08-01T00:29:37.6584390Z,7999.6,8056.4,7991,8053.5,1.6,59
2021-08-01T00:30:00.0000000Z,2021-08-01T00:45:00.0000000Z,2021-08-01T00:30:11.5335310Z,2021-08-01T00:44:22.1916870Z,8055.9,8080.8,8037.5,8076.9,8.169,70
2021-08-01T00:45:00.0000000Z,2021-08-01T01:00:00.0000000Z,2021-08-01T00:45:09.0694040Z,2021-08-01T00:59:39.5376070Z,8086.6,8127.9,8077.1,8114.9,2.892,44
2021-08-01T01:00:00.0000000Z,2021-08-01T01:15:00.0000000Z,2021-08-01T01:01:34.5008430Z,2021-08-01T01:14:36.2894570Z,8106.4,8157.7,8094.8,8140.9,2.066,53
2021-08-01T01:15:00.0000000Z,2021-08-01T01:30:00.0000000Z,2021-08-01T01:15:17.1693600Z,2021-08-01T01:29:37.0302440Z,8149.8,8149.8,8101.2,8118.3,0.171,33
2021-08-01T01:30:00.0000000Z,2021-08-01T01:45:00.0000000Z,2021-08-01T01:30:36.1818980Z,2021-08-01T01:43:43.3582060Z,8125.7,8126.5,8102.6,8115.1,0.027,27
2021-08-01T01:45:00.0000000Z,2021-08-01T02:00:00.0000000Z,2021-08-01T01:45:33.7423700Z,2021-08-01T01:59:52.6487880Z,8115.7,8124.4,8095.3,8103.5,2.249,38
2021-08-01T02:00:00.0000000Z,2021-08-01T02:15:00.0000000Z,2021-08-01T02:00:01.7701050Z,2021-08-01T02:13:38.4329680Z,8105.7,8111.6,8083.8,8104.6,0.495,27
2021-08-01T02:15:00.0000000Z,2021-08-01T02:30:00.0000000Z,2021-08-01T02:15:34.6606230Z,2021-08-01T02:29:37.9496930Z,8101.7,8146.4,8089.5,8135.1,2.224,40
2021-08-01T02:30:00.0000000Z,2021-08-01T02:45:00.0000000Z,2021-08-01T02:31:34.5304180Z,2021-08-01T02:43:36.9391570Z,8140.2,8162.2,8130.1,8153.6,0.995,31
2021-08-01T02:45:00.0000000Z,2021-08-01T03:00:00.0000000Z,2021-08-01T02:45:00.8464340Z,2021-08-01T02:59:35.3841730Z,8155.8,8167.2,8135,8167.2,2.024,34
2021-08-01T03:00:00.0000000Z,2021-08-01T03:15:00.0000000Z,2021-08-01T03:00:01.1051830Z,2021-08-01T03:13:37.5887520Z,8168.9,8171.4,8145.6,8149.8,0.504,25
2021-08-01T03:15:00.0000000Z,2021-08-01T03:30:00.0000000Z,2021-08-01T03:15:34.6691360Z,2021-08-01T03:29:37.7387310Z,8151.6,8193.8,8139.8,8180,1.02,52
2021-08-01T03:30:00.0000000Z,2021-08-01T03:45:00.0000000Z,2021-08-01T03:30:23.2155110Z,2021-08-01T03:44:37.2914890Z,8191.3,8222.1,8170,8222.1,0.989,37
2021-08-01T03:45:00.0000000Z,2021-08-01T04:00:00.0000000Z,2021-08-01T03:45:13.0578040Z,2021-08-01T03:59:37.7465580Z,8222.2,8278.8,8221.8,8259.9,0.097,45
2021-08-01T04:00:00.0000000Z,2021-08-01T04:15:00.0000000Z,2021-08-01T04:00:19.1681300Z,2021-08-01T04:14:34.7915450Z,8244,8267.1,8228.6,8252.7,0.881,39
2021-08-01T04:15:00.0000000Z,2021-08-01T04:30:00.0000000Z,2021-08-01T04:15:34.6740340Z,2021-08-01T04:29:37.5511720Z,8251.4,8251.4,8206.9,8216,0.896,34
2021-08-01T04:30:00.0000000Z,2021-08-01T04:45:00.0000000Z,2021-08-01T04:30:01.3321110Z,2021-08-01T04:43:37.9511100Z,8221,8222.4,8190.5,8201.5,2.485,32
2021-08-01T04:45:00.0000000Z,2021-08-01T05:00:00.0000000Z,2021-08-01T04:45:35.0950380Z,2021-08-01T04:59:37.6592060Z,8204.2,8235.7,8189.7,8199.1,2.712,39
2021-08-01T05:00:00.0000000Z,2021-08-01T05:15:00.0000000Z,2021-08-01T05:00:01.1826560Z,2021-08-01T05:13:37.2451270Z,8198,8218.2,8148.6,8157.4,2.883,45
2021-08-01T05:15:00.0000000Z,2021-08-01T05:30:00.0000000Z,2021-08-01T05:15:11.1701040Z,2021-08-01T05:29:43.7345990Z,8141.1,8190.1,8141.1,8174.1,2.742,44
2021-08-01T05:30:00.0000000Z,2021-08-01T05:45:00.0000000Z,2021-08-01T05:30:28.3409580Z,2021-08-01T05:44:08.5622320Z,8167,8208.5,8167,8190.9,0.061,28
2021-08-01T05:45:00.0000000Z,2021-08-01T06:00:00.0000000Z,2021-08-01T05:45:34.5213250Z,2021-08-01T05:57:09.4293800Z,8193.6,8193.6,8173.4,8173.4,2.006,6
