time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-22T00:15:00.0000000Z,2021-08-22T00:30:00.0000000Z,2021-08-22T00:15:31.2900000Z,2021-08-22T00:15:31.2900000Z,51.347,51.347,51.347,51.347,0.68657928,1
2021-08-22T14:30:00.0000000Z,2021-08-22T14:45:00.0000000Z,2021-08-22T14:35:42.1670000Z,2021-08-22T14:35:43.0930000Z,50.1,50.1,49.957,49.957,46.175,3
2021-08-22T14:45:00.0000000Z,2021-08-22T15:00:00.0000000Z,2021-08-22T14:52:00.5490000Z,2021-08-22T14:56:12.3350000Z,49.6,49.6,49.3,49.3,40.4,4
2021-08-22T15:00:00.0000000Z,2021-08-22T15:15:00.0000000Z,2021-08-22T15:13:36.6700000Z,2021-08-22T15:13:36.6700000Z,49.158,49.158,49.158,49.158,6.4,1
2021-08-22T20:30:00.0000000Z,2021-08-22T20:45:00.0000000Z,2021-08-22T20:40:16.3780000Z,2021-08-22T20:42:01.4040000Z,48.9,48.9,48.87,48.87,20.2,2
2021-08-22T23:15:00.0000000Z,2021-08-22T23:30:00.0000000Z,2021-08-22T23:27:45.3880000Z,2021-08-22T23:27:45.3880000Z,50.505,50.505,50.505,50.505,100,1
2021-08-23T00:15:00.0000000Z,2021-08-23T00:30:00.0000000Z,2021-08-23T00:15:30.8800000Z,2021-08-23T00:15:30.8850000Z,50.662,50.662,50.637,50.637,2.28998216,2
2021-08-23T02:30:00.0000000Z,2021-08-23T02:45:00.0000000Z,2021-08-23T02:37:07.3450000Z,2021-08-23T02:37:07.3450000Z,51.312,51.312,51.312,51.312,200,1
2021-08-23T04:30:00.0000000Z,2021-08-23T04:45:00.0000000Z,2021-08-23T04:41:18.1260000Z,2021-08-23T04:41:18.1260000Z,51.227,51.227,51.227,51.227,3.56892589,1
2021-08-23T04:45:00.0000000Z,2021-08-23T05:00:00.0000000Z,2021-08-23T04:50:59.7050000Z,2021-08-23T04:50:59.7050000Z,51.155,51.155,51.155,51.155,1.20479603,1
2021-08-23T10:30:00.0000000Z,2021-08-23T10:45:00.0000000Z,2021-08-23T10:42:34.6580000Z,2021-08-23T10:42:34.6630000Z,51.162,51.162,51.148,51.148,300,2
2021-08-23T13:45:00.0000000Z,2021-08-23T14:00:00.0000000Z,2021-08-23T13:57:04.7220000Z,2021-08-23T13:57:04.7220000Z,51.7,51.7,51.7,51.7,400.29316515,1
2021-08-23T14:30:00.0000000Z,2021-08-23T14:45:00.0000000Z,2021-08-23T14:33:46.1310000Z,2021-08-23T14:33:46.1310000Z,50.982,50.982,50.982,50.982,1.73809458,1
2021-08-23T15:00:00.0000000Z,2021-08-23T15:15:00.0000000Z,2021-08-23T15:01:38.1350000Z,2021-08-23T15:01:38.1350000Z,50.686,50.686,50.686,50.686,325.05287073,1
2021-08-23T15:15:00.0000000Z,2021-08-23T15:30:00.0000000Z,2021-08-23T15:22:32.0600000Z,2021-08-23T15:28:32.4930000Z,50.93,50.93,50.788,50.788,6.68427321,2
2021-08-23T15:30:00.0000000Z,2021-08-23T15:45:00.0000000Z,2021-08-23T15:30:32.6560000Z,2021-08-23T15:44:33.5810000Z,50.784,50.784,50.377,50.495,5.29631677,3
2021-08-23T15:45:00.0000000Z,2021-08-23T16:00:00.0000000Z,2021-08-23T15:46:33.7100000Z,2021-08-23T15:58:34.4010000Z,50.565,50.721,50.565,50.706,21.64951968,7
2021-08-23T16:00:00.0000000Z,2021-08-23T16:15:00.0000000Z,2021-08-23T16:00:34.4770000Z,2021-08-23T16:14:35.1560000Z,50.678,50.746,50.595,50.706,36.31965018,8
2021-08-23T16:15:00.0000000Z,2021-08-23T16:30:00.0000000Z,2021-08-23T16:16:35.2370000Z,2021-08-23T16:28:35.7620000Z,50.715,51.213,50.715,51.036,70.69604493,10
2021-08-23T16:30:00.0000000Z,2021-08-23T16:45:00.0000000Z,2021-08-23T16:30:06.8750000Z,2021-08-23T16:44:36.4040000Z,51.561,51.623,51.363,51.363,76.07686355,9
2021-08-23T16:45:00.0000000Z,2021-08-23T17:00:00.0000000Z,2021-08-23T16:46:36.4740000Z,2021-08-23T16:58:37.1370000Z,51.304,51.524,51.208,51.524,34.06331344,7
2021-08-23T17:00:00.0000000Z,2021-08-23T17:15:00.0000000Z,2021-08-23T17:00:37.2390000Z,2021-08-23T17:14:38.0270000Z,51.551,51.728,51.551,51.692,38.71389779,8
2021-08-23T17:15:00.0000000Z,2021-08-23T17:30:00.0000000Z,2021-08-23T17:16:38.1010000Z,2021-08-23T17:28:38.6110000Z,51.561,51.606,51.459,51.47,33.92341286,7
2021-08-23T17:30:00.0000000Z,2021-08-23T17:45:00.0000000Z,2021-08-23T17:30:38.6590000Z,2021-08-23T17:44:39.4390000Z,51.478,51.478,51.319,51.354,34.03631966,7
2021-08-23T17:45:00.0000000Z,2021-08-23T18:00:00.0000000Z,2021-08-23T17:46:39.5600000Z,2021-08-23T17:58:40.2510000Z,51.369,51.46,51.26,51.26,34.04549636,7
2021-08-23T18:00:00.0000000Z,2021-08-23T18:15:00.0000000Z,2021-08-23T18:00:40.3570000Z,2021-08-23T18:06:40.7240000Z,51.084,51.237,51.084,51.237,16.22869105,4
2021-08-23T22:00:00.0000000Z,2021-08-23T22:15:00.0000000Z,2021-08-23T22:13:01.5770000Z,2021-08-23T22:13:01.5770000Z,50.855,50.855,50.855,50.855,30,1
2021-08-24T00:15:00.0000000Z,2021-08-24T00:30:00.0000000Z,2021-08-24T00:15:30.9950000Z,2021-08-24T00:15:30.9950000Z,50.711,50.711,50.711,50.711,3.5488951,1
2021-08-24T13:45:00.0000000Z,2021-08-24T14:00:00.0000000Z,2021-08-24T13:47:09.8950000Z,2021-08-24T13:47:10.0980000Z,48.61,48.61,48.61,48.61,10.2,3
2021-08-24T14:00:00.0000000Z,2021-08-24T14:15:00.0000000Z,2021-08-24T14:11:12.9350000Z,2021-08-24T14:14:47.9450000Z,48.44,48.44,48.44,48.44,10.2,2
2021-08-24T14:30:00.0000000Z,2021-08-24T14:45:00.0000000Z,2021-08-24T14:37:53.0870000Z,2021-08-24T14:37:53.0890000Z,48.3,48.3,48.197,48.197,15.17221967,4
2021-08-24T14:45:00.0000000Z,2021-08-24T15:00:00.0000000Z,2021-08-24T14:50:38.9590000Z,2021-08-24T14:50:38.9660000Z,47.887,47.887,47.864,47.864,45,3
2021-08-24T15:00:00.0000000Z,2021-08-24T15:15:00.0000000Z,2021-08-24T15:01:22.9110000Z,2021-08-24T15:01:22.9120000Z,47.658,47.658,47.546,47.546,22.2009791,4
2021-08-24T16:00:00.0000000Z,2021-08-24T16:15:00.0000000Z,2021-08-24T16:11:17.1580000Z,2021-08-24T16:11:17.2370000Z,46.688,46.688,46.688,46.688,16.98754247,4
2021-08-24T16:15:00.0000000Z,2021-08-24T16:30:00.0000000Z,2021-08-24T16:16:53.0740000Z,2021-08-24T16:19:18.7740000Z,46.482,46.482,45.93,45.93,278.95865609,7
2021-08-24T17:45:00.0000000Z,2021-08-24T18:00:00.0000000Z,2021-08-24T17:54:06.0030000Z,2021-08-24T17:54:06.0040000Z,46.907,46.907,46.884,46.884,87.41297165,3
2021-08-24T19:15:00.0000000Z,2021-08-24T19:30:00.0000000Z,2021-08-24T19:22:56.0050000Z,2021-08-24T19:26:27.3750000Z,47.701,47.701,47.701,47.701,298.29999092,8
2021-08-24T21:15:00.0000000Z,2021-08-24T21:30:00.0000000Z,2021-08-24T21:18:16.1060000Z,2021-08-24T21:20:39.5050000Z,48.28,48.28,48.18,48.18,67.00158126,12
2021-08-24T21:45:00.0000000Z,2021-08-24T22:00:00.0000000Z,2021-08-24T21:49:28.6780000Z,2021-08-24T21:49:28.6780000Z,48.14,48.14,48.14,48.14,30.9,3
2021-08-24T22:15:00.0000000Z,2021-08-24T22:30:00.0000000Z,2021-08-24T22:28:25.7610000Z,2021-08-24T22:28:25.7610000Z,48.446,48.446,48.446,48.446,5.38061874,3
2021-08-24T22:30:00.0000000Z,2021-08-24T22:45:00.0000000Z,2021-08-24T22:36:20.4090000Z,2021-08-24T22:36:20.4090000Z,48.446,48.446,48.446,48.446,339.04319526,3
2021-08-24T22:45:00.0000000Z,2021-08-24T23:00:00.0000000Z,2021-08-24T22:56:59.8540000Z,2021-08-24T22:56:59.9910000Z,48.459,48.459,48.459,48.459,118.125,27
2021-08-24T23:00:00.0000000Z,2021-08-24T23:15:00.0000000Z,2021-08-24T23:00:22.3990000Z,2021-08-24T23:00:23.5370000Z,48.408,48.408,48.381,48.381,140,32
2021-08-25T00:15:00.0000000Z,2021-08-25T00:30:00.0000000Z,2021-08-25T00:15:30.6860000Z,2021-08-25T00:15:30.6890000Z,48.096,48.12,48.096,48.12,33.07249044,12
2021-08-25T09:00:00.0000000Z,2021-08-25T09:15:00.0000000Z,2021-08-25T09:07:08.6930000Z,2021-08-25T09:11:24.1000000Z,46.534,46.786,46.534,46.786,3.65884293,6
2021-08-25T14:00:00.0000000Z,2021-08-25T14:15:00.0000000Z,2021-08-25T14:06:15.6200000Z,2021-08-25T14:11:47.7840000Z,47.213,47.213,47.024,47.024,104.75,24
2021-08-25T15:45:00.0000000Z,2021-08-25T16:00:00.0000000Z,2021-08-25T15:50:57.4990000Z,2021-08-25T15:50:57.4990000Z,49.389,49.389,49.389,49.389,84.4,2
2021-08-25T16:30:00.0000000Z,2021-08-25T16:45:00.0000000Z,2021-08-25T16:37:00.1010000Z,2021-08-25T16:37:00.1010000Z,49.881,49.881,49.881,49.881,3.4287816,2
