time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-22T00:00:00.0000000Z,2021-08-22T00:15:00.0000000Z,2021-08-22T00:00:02.1380000Z,2021-08-22T00:14:58.0402600Z,1.58583,1.6089,1.5812,1.5919,711543.77012313,730
2021-08-22T00:15:00.0000000Z,2021-08-22T00:30:00.0000000Z,2021-08-22T00:15:00.8410440Z,2021-08-22T00:29:58.5936440Z,1.5927,1.606,1.5844,1.6011,337954.6708766,680
2021-08-22T00:30:00.0000000Z,2021-08-22T00:45:00.0000000Z,2021-08-22T00:30:10.3060570Z,2021-08-22T00:44:58.3245870Z,1.6028,1.6099,1.6012,1.6091,468502.09317606,586
2021-08-22T00:45:00.0000000Z,2021-08-22T01:00:00.0000000Z,2021-08-22T00:45:01.0606690Z,2021-08-22T00:59:53.3601020Z,1.6084,1.6127,1.5971,1.606,319593.30309225,487
2021-08-22T01:00:00.0000000Z,2021-08-22T01:15:00.0000000Z,2021-08-22T01:00:01.9390000Z,2021-08-22T01:14:53.5652670Z,1.60778,1.6092,1.5971,1.6008,233797.77934781,367
2021-08-22T01:15:00.0000000Z,2021-08-22T01:30:00.0000000Z,2021-08-22T01:15:02.8752440Z,2021-08-22T01:29:55.9695660Z,1.5991,1.6064,1.597,1.6049,267598.545813,370
2021-08-22T01:30:00.0000000Z,2021-08-22T01:45:00.0000000Z,2021-08-22T01:30:04.8786750Z,2021-08-22T01:44:57.2266660Z,1.6051,1.6278,1.6051,1.6275,470646.81388915,838
2021-08-22T01:45:00.0000000Z,2021-08-22T02:00:00.0000000Z,2021-08-22T01:45:00.6940850Z,2021-08-22T01:59:58.9970760Z,1.6278,1.655,1.62738,1.6463,1389059.07821734,1934
2021-08-22T02:00:00.0000000Z,2021-08-22T02:15:00.0000000Z,2021-08-22T02:00:00.2836430Z,2021-08-22T02:14:59.3890000Z,1.6463,1.6589,1.6388,1.64731,981790.26954384,1115
2021-08-22T02:15:00.0000000Z,2021-08-22T02:30:00.0000000Z,2021-08-22T02:15:01.7825830Z,2021-08-22T02:29:59.9291950Z,1.6451,1.64887,1.63214,1.6361,998284.29713896,1001
2021-08-22T02:30:00.0000000Z,2021-08-22T02:45:00.0000000Z,2021-08-22T02:30:00.3211000Z,2021-08-22T02:44:59.4779280Z,1.6361,1.6361,1.6204,1.6206,683971.28878362,945
2021-08-22T02:45:00.0000000Z,2021-08-22T03:00:00.0000000Z,2021-08-22T02:45:00.8289610Z,2021-08-22T02:59:46.7071430Z,1.6215,1.63433,1.6192,1.6291,777730.09809443,763
2021-08-22T03:00:00.0000000Z,2021-08-22T03:15:00.0000000Z,2021-08-22T03:00:01.9961290Z,2021-08-22T03:14:59.5354490Z,1.6278,1.6423,1.6244,1.6327,665612.26405281,579
2021-08-22T03:15:00.0000000Z,2021-08-22T03:30:00.0000000Z,2021-08-22T03:15:01.5563690Z,2021-08-22T03:29:59.8382140Z,1.6321,1.6375,1.616,1.6198,989550.70524017,750
2021-08-22T03:30:00.0000000Z,2021-08-22T03:45:00.0000000Z,2021-08-22T03:30:05.2030000Z,2021-08-22T03:44:49.5623460Z,1.62,1.63344,1.6146,1.6298,902510.51547385,740
2021-08-22T03:45:00.0000000Z,2021-08-22T04:00:00.0000000Z,2021-08-22T03:45:00.6353680Z,2021-08-22T03:59:54.4129480Z,1.63,1.63867,1.6252,1.6339,336843.47828796,411
2021-08-22T04:00:00.0000000Z,2021-08-22T04:15:00.0000000Z,2021-08-22T04:00:01.0631360Z,2021-08-22T04:14:54.1070000Z,1.6337,1.65566,1.6324,1.6488,1408107.71117308,1218
2021-08-22T04:15:00.0000000Z,2021-08-22T04:30:00.0000000Z,2021-08-22T04:15:02.9439670Z,2021-08-22T04:29:59.0716130Z,1.6484,1.6619,1.64245,1.6508,851540.47567351,889
2021-08-22T04:30:00.0000000Z,2021-08-22T04:45:00.0000000Z,2021-08-22T04:30:02.3800450Z,2021-08-22T04:44:59.2042880Z,1.6515,1.6537,1.6376,1.6385,990106.62936662,722
2021-08-22T04:45:00.0000000Z,2021-08-22T05:00:00.0000000Z,2021-08-22T04:45:05.0448710Z,2021-08-22T04:59:59.1942660Z,1.6377,1.6552,1.6357,1.653,510918.49171907,778
2021-08-22T05:00:00.0000000Z,2021-08-22T05:15:00.0000000Z,2021-08-22T05:00:00.4271500Z,2021-08-22T05:14:51.4837570Z,1.6526,1.6564,1.638,1.6414,241675.72687833,382
2021-08-22T05:15:00.0000000Z,2021-08-22T05:30:00.0000000Z,2021-08-22T05:15:08.1095330Z,2021-08-22T05:29:55.8915410Z,1.6423,1.6443,1.6293,1.6331,317358.12083557,488
2021-08-22T05:30:00.0000000Z,2021-08-22T05:45:00.0000000Z,2021-08-22T05:30:00.0472840Z,2021-08-22T05:44:59.0512290Z,1.6325,1.6382,1.6285,1.6348,356293.36599022,371
2021-08-22T05:45:00.0000000Z,2021-08-22T06:00:00.0000000Z,2021-08-22T05:45:07.6932320Z,2021-08-22T05:59:51.9700220Z,1.6345,1.6409,1.62969,1.6384,172667.13776086,274
2021-08-22T06:00:00.0000000Z,2021-08-22T06:15:00.0000000Z,2021-08-22T06:00:02.8180000Z,2021-08-22T06:14:50.5941840Z,1.64007,1.6485,1.6325,1.6372,330131.63895642,403
2021-08-22T06:15:00.0000000Z,2021-08-22T06:30:00.0000000Z,2021-08-22T06:15:11.7102940Z,2021-08-22T06:29:57.8629260Z,1.6387,1.6491,1.6382,1.6432,165248.11422102,273
2021-08-22T06:30:00.0000000Z,2021-08-22T06:45:00.0000000Z,2021-08-22T06:30:00.9125650Z,2021-08-22T06:44:56.2690680Z,1.6433,1.6525,1.6425,1.6497,289679.43364829,350
2021-08-22T06:45:00.0000000Z,2021-08-22T07:00:00.0000000Z,2021-08-22T06:45:02.5432000Z,2021-08-22T06:59:59.4260200Z,1.6501,1.65541,1.6384,1.642,797428.84258644,548
2021-08-22T07:00:00.0000000Z,2021-08-22T07:15:00.0000000Z,2021-08-22T07:00:02.0870000Z,2021-08-22T07:14:59.5176500Z,1.6445,1.64892,1.63429,1.6344,631366.57817775,517
2021-08-22T07:15:00.0000000Z,2021-08-22T07:30:00.0000000Z,2021-08-22T07:15:01.1886210Z,2021-08-22T07:29:59.9119240Z,1.6352,1.64223,1.6346,1.637,375989.94374907,421
