time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-01T00:00:00.0000000Z,2021-08-01T00:15:00.0000000Z,2021-08-01T00:00:01.5361810Z,2021-08-01T00:14:27.0787590Z,3055.2,3066.4,3032.1,3056.1,80.025,65
2021-08-01T00:15:00.0000000Z,2021-08-01T00:30:00.0000000Z,2021-08-01T00:16:17.2985880Z,2021-08-01T00:27:31.1264590Z,3054.2,3083.6,3054.2,3083.6,15.013,47
2021-08-01T00:30:00.0000000Z,2021-08-01T00:45:00.0000000Z,2021-08-01T00:30:10.2958370Z,2021-08-01T00:44:54.5815200Z,3085.8,3104.9,3068,3102.9,74.45,84
2021-08-01T00:45:00.0000000Z,2021-08-01T01:00:00.0000000Z,2021-08-01T00:46:36.4395010Z,2021-08-01T00:56:54.3738160Z,3101.8,3111,3101.8,3103.8,0.881,16
2021-08-01T01:00:00.0000000Z,2021-08-01T01:15:00.0000000Z,2021-08-01T01:01:30.5688950Z,2021-08-01T01:14:13.8338160Z,3103.7,3109,3099.2,3102.9,10.878,11
2021-08-01T01:15:00.0000000Z,2021-08-01T01:30:00.0000000Z,2021-08-01T01:16:39.0627900Z,2021-08-01T01:27:30.7787780Z,3107.7,3107.7,3089.5,3096.3,6.468,18
2021-08-01T01:30:00.0000000Z,2021-08-01T01:45:00.0000000Z,2021-08-01T01:31:31.4572340Z,2021-08-01T01:43:59.4672570Z,3092.4,3092.4,3089,3089,0.028,5
2021-08-01T01:45:00.0000000Z,2021-08-01T02:00:00.0000000Z,2021-08-01T01:45:39.0637820Z,2021-08-01T01:51:30.4763820Z,3090.8,3090.8,3089,3089,0.163,3
2021-08-01T02:00:00.0000000Z,2021-08-01T02:15:00.0000000Z,2021-08-01T02:03:49.0539840Z,2021-08-01T02:12:13.9697280Z,3091.9,3092,3091.1,3091.7,0.102,5
2021-08-01T02:15:00.0000000Z,2021-08-01T02:30:00.0000000Z,2021-08-01T02:15:58.9106140Z,2021-08-01T02:26:35.2140610Z,3094.6,3094.6,3088.7,3093.7,0.382,5
2021-08-01T02:30:00.0000000Z,2021-08-01T02:45:00.0000000Z,2021-08-01T02:31:33.4266720Z,2021-08-01T02:44:33.6576650Z,3105.1,3117.4,3105.1,3117.4,0.43,12
2021-08-01T02:45:00.0000000Z,2021-08-01T03:00:00.0000000Z,2021-08-01T02:45:04.1618670Z,2021-08-01T02:58:41.0711680Z,3112.7,3120.5,3110.1,3119.5,2.761,26
2021-08-01T03:00:00.0000000Z,2021-08-01T03:15:00.0000000Z,2021-08-01T03:01:19.4778400Z,2021-08-01T03:14:58.9327780Z,3118.3,3129.3,3117.7,3118.2,1.279,17
2021-08-01T03:15:00.0000000Z,2021-08-01T03:30:00.0000000Z,2021-08-01T03:16:28.7890070Z,2021-08-01T03:28:21.3955850Z,3123.4,3132.3,3116.1,3131.2,12.248,24
2021-08-01T03:30:00.0000000Z,2021-08-01T03:45:00.0000000Z,2021-08-01T03:30:20.8703940Z,2021-08-01T03:44:11.4109540Z,3136.2,3145.2,3131.2,3142.4,7.253,27
2021-08-01T03:45:00.0000000Z,2021-08-01T04:00:00.0000000Z,2021-08-01T03:45:06.3408220Z,2021-08-01T03:59:53.9139080Z,3149.1,3161.4,3145.1,3150.4,69.142,76
2021-08-01T04:00:00.0000000Z,2021-08-01T04:15:00.0000000Z,2021-08-01T04:00:01.7540070Z,2021-08-01T04:11:45.2509990Z,3156.3,3156.4,3146,3151,26.271,66
2021-08-01T04:15:00.0000000Z,2021-08-01T04:30:00.0000000Z,2021-08-01T04:15:03.8654370Z,2021-08-01T04:29:39.1050460Z,3160.1,3160.5,3135.1,3140,7.33,13
2021-08-01T04:30:00.0000000Z,2021-08-01T04:45:00.0000000Z,2021-08-01T04:31:32.0403890Z,2021-08-01T04:41:39.1842650Z,3139.7,3141.5,3133,3134.9,16.097,24
2021-08-01T04:45:00.0000000Z,2021-08-01T05:00:00.0000000Z,2021-08-01T04:46:29.2675480Z,2021-08-01T04:59:51.5921370Z,3138.3,3139.7,3129.4,3129.5,15.811,25
2021-08-01T05:00:00.0000000Z,2021-08-01T05:15:00.0000000Z,2021-08-01T05:00:01.1954130Z,2021-08-01T05:14:27.6806390Z,3135.1,3140.1,3104.1,3104.1,25.524,59
2021-08-01T05:15:00.0000000Z,2021-08-01T05:30:00.0000000Z,2021-08-01T05:15:10.1930180Z,2021-08-01T05:26:29.3848640Z,3107,3124.9,3107,3121.7,7.355,19
2021-08-01T05:30:00.0000000Z,2021-08-01T05:45:00.0000000Z,2021-08-01T05:30:24.7890920Z,2021-08-01T05:41:29.7077750Z,3111.2,3129.1,3111.2,3129.1,0.115,7
2021-08-01T05:45:00.0000000Z,2021-08-01T06:00:00.0000000Z,2021-08-01T05:47:12.7404360Z,2021-08-01T05:56:31.2078350Z,3121.5,3124.7,3119.1,3119.1,0.026,4
2021-08-01T06:00:00.0000000Z,2021-08-01T06:15:00.0000000Z,2021-08-01T06:00:17.9478700Z,2021-08-01T06:11:29.1275470Z,3113.1,3113.1,3105.6,3110.4,0.317,6
2021-08-01T06:15:00.0000000Z,2021-08-01T06:30:00.0000000Z,2021-08-01T06:16:30.8389500Z,2021-08-01T06:26:29.2575060Z,3111.4,3114.2,3110.9,3114.2,0.068,5
2021-08-01T06:30:00.0000000Z,2021-08-01T06:45:00.0000000Z,2021-08-01T06:31:31.5101690Z,2021-08-01T06:41:32.6583100Z,3115.7,3115.7,3111.4,3111.4,0.019,5
2021-08-01T06:45:00.0000000Z,2021-08-01T07:00:00.0000000Z,2021-08-01T06:45:55.0692010Z,2021-08-01T06:56:30.6928800Z,3115.3,3116.9,3113.2,3116.9,0.383,5
2021-08-01T07:00:00.0000000Z,2021-08-01T07:15:00.0000000Z,2021-08-01T07:01:30.7417260Z,2021-08-01T07:14:12.2764180Z,3116.6,3126,3116.6,3118.4,0.179,5
2021-08-01T07:15:00.0000000Z,2021-08-01T07:30:00.0000000Z,2021-08-01T07:16:29.2041880Z,2021-08-01T07:29:13.1925070Z,3116.6,3119.5,3109.7,3119.5,0.038,4
2021-08-01T07:30:00.0000000Z,2021-08-01T07:45:00.0000000Z,2021-08-01T07:31:28.9020150Z,2021-08-01T07:41:34.2057240Z,3117.6,3126,3117.6,3126,0.014,5
2021-08-01T07:45:00.0000000Z,2021-08-01T08:00:00.0000000Z,2021-08-01T07:46:30.3558400Z,2021-08-01T07:57:29.3735520Z,3124.8,3124.8,3102.4,3102.4,7.126,10
2021-08-01T08:00:00.0000000Z,2021-08-01T08:15:00.0000000Z,2021-08-01T08:00:18.1646920Z,2021-08-01T08:11:29.0574170Z,3110.9,3118.8,3108.3,3118.8,0.126,11
2021-08-01T08:15:00.0000000Z,2021-08-01T08:30:00.0000000Z,2021-08-01T08:15:58.5775590Z,2021-08-01T08:21:45.0783090Z,3117.5,3120.9,3117,3120.9,0.081,5
2021-08-01T08:30:00.0000000Z,2021-08-01T08:45:00.0000000Z,2021-08-01T08:31:31.9941980Z,2021-08-01T08:41:30.2601920Z,3120.2,3120.4,3120.2,3120.4,0.006,2
2021-08-01T08:45:00.0000000Z,2021-08-01T09:00:00.0000000Z,2021-08-01T08:46:28.8673180Z,2021-08-01T08:58:13.5331190Z,3109.9,3112.6,3109.9,3112.6,0.032,4
2021-08-01T09:00:00.0000000Z,2021-08-01T09:15:00.0000000Z,2021-08-01T09:06:02.4501440Z,2021-08-01T09:12:36.5910280Z,3121.5,3128.3,3121.5,3126.7,1.577,5
2021-08-01T09:15:00.0000000Z,2021-08-01T09:30:00.0000000Z,2021-08-01T09:16:31.2637960Z,2021-08-01T09:27:24.1969780Z,3124.8,3132.8,3124.8,3131.3,0.53,6
2021-08-01T09:30:00.0000000Z,2021-08-01T09:45:00.0000000Z,2021-08-01T09:31:29.8332190Z,2021-08-01T09:42:29.4966020Z,3130.5,3130.8,3125.2,3130.8,0.321,11
2021-08-01T09:45:00.0000000Z,2021-08-01T10:00:00.0000000Z,2021-08-01T09:45:17.7370520Z,2021-08-01T09:56:29.9504140Z,3129.1,3130.2,3127.6,3129.9,0.059,5
2021-08-01T10:00:00.0000000Z,2021-08-01T10:15:00.0000000Z,2021-08-01T10:01:41.4577610Z,2021-08-01T10:11:29.5348770Z,3125.6,3125.6,3117.4,3117.4,0.175,4
2021-08-01T10:15:00.0000000Z,2021-08-01T10:30:00.0000000Z,2021-08-01T10:16:17.6427800Z,2021-08-01T10:27:16.1585680Z,3121.2,3121.4,3110.2,3110.2,1.621,10
2021-08-01T10:30:00.0000000Z,2021-08-01T10:45:00.0000000Z,2021-08-01T10:30:30.7001320Z,2021-08-01T10:42:58.3970830Z,3114.2,3117.3,3104.9,3114.2,8.786,14
2021-08-01T10:45:00.0000000Z,2021-08-01T11:00:00.0000000Z,2021-08-01T10:46:44.4492960Z,2021-08-01T10:58:35.1911220Z,3109,3109,3081,3084.2,11.453,33
