time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-01T00:00:00.0000000Z,2021-08-01T00:15:00.0000000Z,2021-08-01T00:00:00.4420030Z,2021-08-01T00:14:59.0364160Z,6.5055,6.5055,6.3335,6.4325,179152,1431
2021-08-01T00:15:00.0000000Z,2021-08-01T00:30:00.0000000Z,2021-08-01T00:15:00.5601400Z,2021-08-01T00:29:57.4021070Z,6.4325,6.547,6.4235,6.503,93433.1,839
2021-08-01T00:30:00.0000000Z,2021-08-01T00:45:00.0000000Z,2021-08-01T00:30:00.2667010Z,2021-08-01T00:44:59.3745660Z,6.509,6.534,6.4485,6.459,70275.6,577
2021-08-01T00:45:00.0000000Z,2021-08-01T01:00:00.0000000Z,2021-08-01T00:45:00.2059900Z,2021-08-01T00:59:53.5992270Z,6.458,6.4835,6.447,6.47,37415.3,397
2021-08-01T01:00:00.0000000Z,2021-08-01T01:15:00.0000000Z,2021-08-01T01:00:00.6061760Z,2021-08-01T01:14:57.3947000Z,6.4715,6.477,6.3805,6.391,42833.6,460
2021-08-01T01:15:00.0000000Z,2021-08-01T01:30:00.0000000Z,2021-08-01T01:15:02.8348980Z,2021-08-01T01:29:59.9901650Z,6.3995,6.4215,6.3415,6.3525,76211,524
2021-08-01T01:30:00.0000000Z,2021-08-01T01:45:00.0000000Z,2021-08-01T01:30:00.6721090Z,2021-08-01T01:44:59.3486920Z,6.3505,6.395,6.3485,6.3525,38073.1,347
2021-08-01T01:45:00.0000000Z,2021-08-01T02:00:00.0000000Z,2021-08-01T01:45:11.4238760Z,2021-08-01T01:59:58.4795240Z,6.357,6.3895,6.35,6.366,29123.5,310
2021-08-01T02:00:00.0000000Z,2021-08-01T02:15:00.0000000Z,2021-08-01T02:00:00.8559990Z,2021-08-01T02:14:56.2929940Z,6.37,6.3925,6.349,6.349,21430.1,245
2021-08-01T02:15:00.0000000Z,2021-08-01T02:30:00.0000000Z,2021-08-01T02:15:01.4418090Z,2021-08-01T02:29:50.5709650Z,6.35,6.3715,6.3135,6.3395,34268,365
2021-08-01T02:30:00.0000000Z,2021-08-01T02:45:00.0000000Z,2021-08-01T02:30:04.2014400Z,2021-08-01T02:44:51.6642920Z,6.336,6.359,6.327,6.3365,36149.3,239
2021-08-01T02:45:00.0000000Z,2021-08-01T03:00:00.0000000Z,2021-08-01T02:45:05.2193190Z,2021-08-01T02:59:50.4908660Z,6.34,6.3705,6.316,6.3555,23048.9,253
2021-08-01T03:00:00.0000000Z,2021-08-01T03:15:00.0000000Z,2021-08-01T03:00:00.5149780Z,2021-08-01T03:14:56.2746880Z,6.355,6.374,6.3435,6.356,19557,285
2021-08-01T03:15:00.0000000Z,2021-08-01T03:30:00.0000000Z,2021-08-01T03:15:01.8276990Z,2021-08-01T03:29:58.6553930Z,6.3555,6.427,6.3455,6.408,20196,318
2021-08-01T03:30:00.0000000Z,2021-08-01T03:45:00.0000000Z,2021-08-01T03:30:02.7654620Z,2021-08-01T03:44:54.5776680Z,6.414,6.5165,6.3845,6.5145,56495.9,438
2021-08-01T03:45:00.0000000Z,2021-08-01T04:00:00.0000000Z,2021-08-01T03:45:00.2474480Z,2021-08-01T03:59:58.9049990Z,6.5105,6.567,6.4875,6.542,79312,623
2021-08-01T04:00:00.0000000Z,2021-08-01T04:15:00.0000000Z,2021-08-01T04:00:00.6112760Z,2021-08-01T04:14:59.8142530Z,6.54,6.708,6.503,6.7075,106285.3,985
