time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-01T00:00:00.0000000Z,2021-08-01T00:15:00.0000000Z,2021-08-01T00:00:02.9688320Z,2021-08-01T00:14:58.6895350Z,5087,5109.9,5056.3,5096.6,38.304,221
2021-08-01T00:15:00.0000000Z,2021-08-01T00:30:00.0000000Z,2021-08-01T00:15:08.4503200Z,2021-08-01T00:29:30.8552310Z,5091.5,5150.9,5091.5,5150.9,12.787,103
2021-08-01T00:30:00.0000000Z,2021-08-01T00:45:00.0000000Z,2021-08-01T00:30:09.6683700Z,2021-08-01T00:44:28.5720700Z,5151.5,5180.4,5136.9,5180.4,22.181,199
2021-08-01T00:45:00.0000000Z,2021-08-01T01:00:00.0000000Z,2021-08-01T00:45:30.6895490Z,2021-08-01T00:59:31.4672440Z,5180.4,5209.4,5177.8,5206.6,16.533,48
2021-08-01T01:00:00.0000000Z,2021-08-01T01:15:00.0000000Z,2021-08-01T01:00:10.4234420Z,2021-08-01T01:11:01.6815680Z,5205.4,5215,5184.3,5215,23.131,83
2021-08-01T01:15:00.0000000Z,2021-08-01T01:30:00.0000000Z,2021-08-01T01:15:11.3504280Z,2021-08-01T01:28:56.5140070Z,5210.2,5212.6,5174.9,5182.1,17.327,107
2021-08-01T01:30:00.0000000Z,2021-08-01T01:45:00.0000000Z,2021-08-01T01:31:02.9478790Z,2021-08-01T01:43:44.8829830Z,5173.3,5181.9,5166,5178.3,1.174,21
2021-08-01T01:45:00.0000000Z,2021-08-01T02:00:00.0000000Z,2021-08-01T01:45:34.5843120Z,2021-08-01T01:59:58.8695670Z,5179.9,5201.2,5179.9,5201.2,15.219,60
2021-08-01T02:00:00.0000000Z,2021-08-01T02:15:00.0000000Z,2021-08-01T02:00:14.0289470Z,2021-08-01T02:14:11.3698570Z,5202.5,5205.1,5193.1,5200.6,7.73,46
2021-08-01T02:15:00.0000000Z,2021-08-01T02:30:00.0000000Z,2021-08-01T02:19:00.5973990Z,2021-08-01T02:29:18.4109410Z,5190,5210.7,5187.1,5210.7,3.824,31
2021-08-01T02:30:00.0000000Z,2021-08-01T02:45:00.0000000Z,2021-08-01T02:30:00.3988680Z,2021-08-01T02:44:37.4770860Z,5212.3,5226.3,5204.6,5226.3,9.372,57
2021-08-01T02:45:00.0000000Z,2021-08-01T03:00:00.0000000Z,2021-08-01T02:45:00.6725940Z,2021-08-01T02:59:37.4835520Z,5226.3,5240.2,5217.2,5240.2,8.591,35
