time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-22T00:00:00.0000000Z,2021-08-22T00:15:00.0000000Z,2021-08-22T00:00:07.1381570Z,2021-08-22T00:14:58.9038060Z,73.896,74.46,73.501,73.986,13645.77880284,761
2021-08-22T00:15:00.0000000Z,2021-08-22T00:30:00.0000000Z,2021-08-22T00:15:01.6030350Z,2021-08-22T00:29:58.2421480Z,73.924,75.625,73.924,75.255,19838.27441108,1038
2021-08-22T00:30:00.0000000Z,2021-08-22T00:45:00.0000000Z,2021-08-22T00:30:03.2269980Z,2021-08-22T00:44:55.9021360Z,75.279,75.396,74.43,74.87,8047.20124222,524
2021-08-22T00:45:00.0000000Z,2021-08-22T01:00:00.0000000Z,2021-08-22T00:45:07.7813610Z,2021-08-22T00:59:51.1431490Z,74.895,75.19,74.456,75.036,4920.07293998,330
2021-08-22T01:00:00.0000000Z,2021-08-22T01:15:00.0000000Z,2021-08-22T01:00:03.1136380Z,2021-08-22T01:14:58.1170830Z,75.126,75.299,74.447,74.558,5428.56042668,466
2021-08-22T01:15:00.0000000Z,2021-08-22T01:30:00.0000000Z,2021-08-22T01:15:01.3666180Z,2021-08-22T01:29:59.3833920Z,74.526,74.796,74.424,74.723,7128.80712031,443
2021-08-22T01:30:00.0000000Z,2021-08-22T01:45:00.0000000Z,2021-08-22T01:30:07.6025080Z,2021-08-22T01:44:58.5269300Z,74.749,75.12,74.646,74.778,12630.37992577,510
2021-08-22T01:45:00.0000000Z,2021-08-22T02:00:00.0000000Z,2021-08-22T01:45:04.0267600Z,2021-08-22T01:59:53.5977620Z,74.778,75.32,74.769,75.064,11604.73200161,563
2021-08-22T02:00:00.0000000Z,2021-08-22T02:15:00.0000000Z,2021-08-22T02:00:01.3449160Z,2021-08-22T02:14:57.4756050Z,75.038,75.08,74.628,74.761,6795.35887528,451
2021-08-22T02:15:00.0000000Z,2021-08-22T02:30:00.0000000Z,2021-08-22T02:15:00.2866730Z,2021-08-22T02:29:57.7519360Z,74.779,74.861,74.171,74.3,16388.5881671,814
2021-08-22T02:30:00.0000000Z,2021-08-22T02:45:00.0000000Z,2021-08-22T02:30:05.0530240Z,2021-08-22T02:44:59.5913240Z,74.237,74.603,74.05,74.312,7812.5303072,627
2021-08-22T02:45:00.0000000Z,2021-08-22T03:00:00.0000000Z,2021-08-22T02:45:00.2205820Z,2021-08-22T02:59:59.7413310Z,74.321,75.04,74.294,74.661,5355.79054265,463
2021-08-22T03:00:00.0000000Z,2021-08-22T03:15:00.0000000Z,2021-08-22T03:00:00.1573770Z,2021-08-22T03:14:57.1119660Z,74.653,75.032,74.611,74.856,3127.41790234,369
2021-08-22T03:15:00.0000000Z,2021-08-22T03:30:00.0000000Z,2021-08-22T03:15:10.7012130Z,2021-08-22T03:29:58.9182920Z,74.868,75,73.6,73.951,11120.21769761,723
2021-08-22T03:30:00.0000000Z,2021-08-22T03:45:00.0000000Z,2021-08-22T03:30:03.0482490Z,2021-08-22T03:44:57.6109800Z,73.888,74.613,73.651,74.528,7803.49495033,720
2021-08-22T03:45:00.0000000Z,2021-08-22T04:00:00.0000000Z,2021-08-22T03:45:00.0053630Z,2021-08-22T03:59:53.2021770Z,74.586,74.666,74.154,74.378,4677.94966287,434
2021-08-22T04:00:00.0000000Z,2021-08-22T04:15:00.0000000Z,2021-08-22T04:00:00.5451720Z,2021-08-22T04:14:54.8686800Z,74.37,75.11,74.318,74.955,8069.31417921,520
2021-08-22T04:15:00.0000000Z,2021-08-22T04:30:00.0000000Z,2021-08-22T04:15:07.7742210Z,2021-08-22T04:29:44.1863740Z,74.993,75.12,74.77,74.844,5465.16049649,319
2021-08-22T04:30:00.0000000Z,2021-08-22T04:45:00.0000000Z,2021-08-22T04:30:10.3236420Z,2021-08-22T04:44:49.8455770Z,74.895,74.902,74.401,74.548,5223.63391533,345
2021-08-22T04:45:00.0000000Z,2021-08-22T05:00:00.0000000Z,2021-08-22T04:45:00.2040280Z,2021-08-22T04:59:59.7446680Z,74.546,75.129,74.43,74.938,5760.60350894,356
2021-08-22T05:00:00.0000000Z,2021-08-22T05:15:00.0000000Z,2021-08-22T05:00:06.9733250Z,2021-08-22T05:14:56.7662130Z,75.018,75.04,74.7,75.016,4392.85240377,337
