time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-22T00:00:00.0000000Z,2021-08-22T00:15:00.0000000Z,2021-08-22T00:00:27.5850000Z,2021-08-22T00:07:24.9620000Z,7.657,7.657,7.556,7.628,3064.27237671,20
2021-08-22T00:15:00.0000000Z,2021-08-22T00:30:00.0000000Z,2021-08-22T00:21:57.4100000Z,2021-08-22T00:26:20.5750000Z,7.611,7.663,7.6,7.663,327.67008366,3
2021-08-22T00:30:00.0000000Z,2021-08-22T00:45:00.0000000Z,2021-08-22T00:30:12.1710000Z,2021-08-22T00:35:08.5220000Z,7.651,7.686,7.651,7.686,843.51307393,8
2021-08-22T00:45:00.0000000Z,2021-08-22T01:00:00.0000000Z,2021-08-22T00:45:06.8570000Z,2021-08-22T00:54:06.7970000Z,7.744,7.744,7.685,7.735,850.50053331,6
2021-08-22T01:00:00.0000000Z,2021-08-22T01:15:00.0000000Z,2021-08-22T01:02:31.3830000Z,2021-08-22T01:10:27.7810000Z,7.746,7.766,7.725,7.766,864.70171473,6
2021-08-22T01:15:00.0000000Z,2021-08-22T01:30:00.0000000Z,2021-08-22T01:16:52.6810000Z,2021-08-22T01:28:10.1100000Z,7.749,7.764,7.728,7.763,1157.86040882,10
2021-08-22T01:30:00.0000000Z,2021-08-22T01:45:00.0000000Z,2021-08-22T01:30:36.5920000Z,2021-08-22T01:42:54.3830000Z,7.784,7.809,7.784,7.809,464.37481722,3
2021-08-22T02:00:00.0000000Z,2021-08-22T02:15:00.0000000Z,2021-08-22T02:00:47.0330000Z,2021-08-22T02:13:53.3920000Z,7.778,7.778,7.764,7.764,445.94703933,4
2021-08-22T02:15:00.0000000Z,2021-08-22T02:30:00.0000000Z,2021-08-22T02:20:00.2080000Z,2021-08-22T02:20:41.0560000Z,7.742,7.757,7.742,7.757,552.09944395,4
2021-08-22T02:30:00.0000000Z,2021-08-22T02:45:00.0000000Z,2021-08-22T02:37:53.5470000Z,2021-08-22T02:42:33.2800000Z,7.701,7.701,7.666,7.676,459.88622434,5
2021-08-22T02:45:00.0000000Z,2021-08-22T03:00:00.0000000Z,2021-08-22T02:49:56.7870000Z,2021-08-22T02:49:56.7870000Z,7.691,7.691,7.691,7.691,112.67599727,1
2021-08-22T03:00:00.0000000Z,2021-08-22T03:15:00.0000000Z,2021-08-22T03:04:52.2380000Z,2021-08-22T03:04:52.2380000Z,7.718,7.718,7.718,7.718,108.31126917,1
2021-08-22T03:15:00.0000000Z,2021-08-22T03:30:00.0000000Z,2021-08-22T03:21:35.3480000Z,2021-08-22T03:25:45.2920000Z,7.72,7.72,7.682,7.684,334.14412992,4
2021-08-22T03:30:00.0000000Z,2021-08-22T03:45:00.0000000Z,2021-08-22T03:30:46.2280000Z,2021-08-22T03:40:45.9780000Z,7.631,7.669,7.631,7.638,600.44252152,4
2021-08-22T03:45:00.0000000Z,2021-08-22T04:00:00.0000000Z,2021-08-22T03:45:22.2170000Z,2021-08-22T03:58:47.3540000Z,7.692,7.696,7.656,7.688,1253.78149622,10
2021-08-22T04:00:00.0000000Z,2021-08-22T04:15:00.0000000Z,2021-08-22T04:01:14.7670000Z,2021-08-22T04:13:43.2970000Z,7.677,7.715,7.677,7.7,569.06199015,5
2021-08-22T04:15:00.0000000Z,2021-08-22T04:30:00.0000000Z,2021-08-22T04:15:53.1420000Z,2021-08-22T04:17:08.7550000Z,7.71,7.71,7.7,7.7,278.39547168,2
2021-08-22T04:45:00.0000000Z,2021-08-22T05:00:00.0000000Z,2021-08-22T04:46:56.9410000Z,2021-08-22T04:58:42.3740000Z,7.667,7.707,7.667,7.707,629.75968697,5
2021-08-22T05:00:00.0000000Z,2021-08-22T05:15:00.0000000Z,2021-08-22T05:05:18.6500000Z,2021-08-22T05:08:14.3380000Z,7.709,7.709,7.695,7.695,273.4232005,3
