time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-01T00:00:00.0000000Z,2021-08-01T00:15:00.0000000Z,2021-08-01T00:00:14.0578790Z,2021-08-01T00:14:43.9807490Z,8.876,8.932,8.7628,8.858,25039.025883,282
2021-08-01T00:15:00.0000000Z,2021-08-01T00:30:00.0000000Z,2021-08-01T00:15:48.7802510Z,2021-08-01T00:29:53.1670000Z,8.862,9.0299,8.85,9.0299,9284.210049,261
2021-08-01T00:30:00.0000000Z,2021-08-01T00:45:00.0000000Z,2021-08-01T00:30:07.9511460Z,2021-08-01T00:44:48.2391990Z,9.018,9.058,8.952,9.052,15963.511094,317
2021-08-01T00:45:00.0000000Z,2021-08-01T01:00:00.0000000Z,2021-08-01T00:45:07.4054760Z,2021-08-01T00:59:54.4703160Z,9.054,9.188,9.05,9.184,33285.35341241,602
2021-08-01T01:00:00.0000000Z,2021-08-01T01:15:00.0000000Z,2021-08-01T01:00:02.6110000Z,2021-08-01T01:14:59.4524870Z,9.1825,9.2123,9.0872,9.144,19663.56351751,275
2021-08-01T01:15:00.0000000Z,2021-08-01T01:30:00.0000000Z,2021-08-01T01:15:11.1392520Z,2021-08-01T01:29:59.8054830Z,9.151,9.151,9.01,9.043,17655.982349,199
2021-08-01T01:30:00.0000000Z,2021-08-01T01:45:00.0000000Z,2021-08-01T01:30:00.0623320Z,2021-08-01T01:43:32.2525430Z,9.043,9.063,9.0167,9.044,10495.510235,128
2021-08-01T01:45:00.0000000Z,2021-08-01T02:00:00.0000000Z,2021-08-01T01:45:31.2198250Z,2021-08-01T01:59:48.5800000Z,9.055,9.083,9.015,9.0343,9574.14206396,108
2021-08-01T02:00:00.0000000Z,2021-08-01T02:15:00.0000000Z,2021-08-01T02:00:13.2211060Z,2021-08-01T02:14:59.7585300Z,9.035,9.043,8.9792,9.022,14550.9873212,239
2021-08-01T02:15:00.0000000Z,2021-08-01T02:30:00.0000000Z,2021-08-01T02:15:08.8304410Z,2021-08-01T02:29:52.8260390Z,9.03,9.0882,9.03,9.036,7904.323192,130
2021-08-01T02:30:00.0000000Z,2021-08-01T02:45:00.0000000Z,2021-08-01T02:30:50.9296020Z,2021-08-01T02:44:50.2796600Z,9.035,9.1414,9.027,9.133,12577.07605425,127
2021-08-01T02:45:00.0000000Z,2021-08-01T03:00:00.0000000Z,2021-08-01T02:45:04.8672850Z,2021-08-01T02:59:58.9535780Z,9.133,9.14,9.0649,9.116,7323.713399,76
2021-08-01T03:00:00.0000000Z,2021-08-01T03:15:00.0000000Z,2021-08-01T03:00:04.8834400Z,2021-08-01T03:14:09.6355990Z,9.119,9.119,9.03,9.039,3878.746731,63
2021-08-01T03:15:00.0000000Z,2021-08-01T03:30:00.0000000Z,2021-08-01T03:15:04.4819430Z,2021-08-01T03:29:44.7464200Z,9.03,9.1,9.0227,9.096,17662.127359,112
2021-08-01T03:30:00.0000000Z,2021-08-01T03:45:00.0000000Z,2021-08-01T03:30:03.6033050Z,2021-08-01T03:44:43.3369880Z,9.099,9.1676,9.066,9.15,5889.484786,112
2021-08-01T03:45:00.0000000Z,2021-08-01T04:00:00.0000000Z,2021-08-01T03:45:00.7202680Z,2021-08-01T03:59:55.4379600Z,9.162,9.196,9.127,9.182,4684.184612,98
2021-08-01T04:00:00.0000000Z,2021-08-01T04:15:00.0000000Z,2021-08-01T04:00:11.0164490Z,2021-08-01T04:14:50.2134410Z,9.179,9.203,9.141,9.192,7869.93286644,117
2021-08-01T04:15:00.0000000Z,2021-08-01T04:30:00.0000000Z,2021-08-01T04:15:16.9340320Z,2021-08-01T04:29:55.3759880Z,9.199,9.199,9.119,9.131,4083.205627,78
2021-08-01T04:30:00.0000000Z,2021-08-01T04:45:00.0000000Z,2021-08-01T04:30:13.1753610Z,2021-08-01T04:44:57.8857200Z,9.129,9.1493,9.089,9.096,5390.85817912,85
2021-08-01T04:45:00.0000000Z,2021-08-01T05:00:00.0000000Z,2021-08-01T04:45:04.3336480Z,2021-08-01T04:59:53.2306680Z,9.093,9.174,9.093,9.118,18240.952794,118
2021-08-01T05:00:00.0000000Z,2021-08-01T05:15:00.0000000Z,2021-08-01T05:00:25.8706150Z,2021-08-01T05:14:37.4603060Z,9.111,9.17,8.97,8.998,16334.559682,177
2021-08-01T05:15:00.0000000Z,2021-08-01T05:30:00.0000000Z,2021-08-01T05:15:01.0817550Z,2021-08-01T05:28:59.4619020Z,8.997,9.083,8.997,9.026,1954.89031,50
2021-08-01T05:30:00.0000000Z,2021-08-01T05:45:00.0000000Z,2021-08-01T05:30:16.6597940Z,2021-08-01T05:44:54.4401030Z,9.018,9.0862,9.016,9.018,4145.213431,84
2021-08-01T05:45:00.0000000Z,2021-08-01T06:00:00.0000000Z,2021-08-01T05:45:05.5850000Z,2021-08-01T05:59:53.8150190Z,9.0212,9.05,8.983,9.008,4064.199305,66
2021-08-01T06:00:00.0000000Z,2021-08-01T06:15:00.0000000Z,2021-08-01T06:00:01.2608600Z,2021-08-01T06:14:56.2134170Z,9.011,9.011,8.901,8.955,18725.09000206,202
2021-08-01T06:15:00.0000000Z,2021-08-01T06:30:00.0000000Z,2021-08-01T06:15:08.3824240Z,2021-08-01T06:29:25.8241990Z,8.967,8.994,8.96,8.962,2350.297363,43
2021-08-01T06:30:00.0000000Z,2021-08-01T06:45:00.0000000Z,2021-08-01T06:30:54.5606180Z,2021-08-01T06:44:50.9909320Z,9.003,9.015,8.955,8.955,9793.060362,72
2021-08-01T06:45:00.0000000Z,2021-08-01T07:00:00.0000000Z,2021-08-01T06:45:00.6020760Z,2021-08-01T06:59:54.4961950Z,8.963,9.014,8.963,8.986,6298.714192,61
2021-08-01T07:00:00.0000000Z,2021-08-01T07:15:00.0000000Z,2021-08-01T07:00:06.7742090Z,2021-08-01T07:14:25.7839840Z,8.984,9.021,8.98,8.987,1340.54865,44
2021-08-01T07:15:00.0000000Z,2021-08-01T07:30:00.0000000Z,2021-08-01T07:15:04.5803230Z,2021-08-01T07:29:35.3478550Z,8.985,8.986,8.909,8.964,2214.22,37
2021-08-01T07:30:00.0000000Z,2021-08-01T07:45:00.0000000Z,2021-08-01T07:30:21.1396100Z,2021-08-01T07:44:23.5755330Z,8.936,8.98,8.919,8.972,5262.976859,40
2021-08-01T07:45:00.0000000Z,2021-08-01T08:00:00.0000000Z,2021-08-01T07:45:13.3029480Z,2021-08-01T07:59:59.1192090Z,8.969,8.98,8.881,8.895,3824.92,102
2021-08-01T08:00:00.0000000Z,2021-08-01T08:15:00.0000000Z,2021-08-01T08:00:11.5272330Z,2021-08-01T08:14:58.9436750Z,8.897,8.9837,8.895,8.961,2557.50597117,45
2021-08-01T08:15:00.0000000Z,2021-08-01T08:30:00.0000000Z,2021-08-01T08:15:22.9851660Z,2021-08-01T08:29:15.1369560Z,8.979,8.9914,8.963,8.963,819.250373,32
2021-08-01T08:30:00.0000000Z,2021-08-01T08:45:00.0000000Z,2021-08-01T08:30:24.0873420Z,2021-08-01T08:44:38.9963040Z,8.968,8.9847,8.946,8.958,722.368545,20
2021-08-01T08:45:00.0000000Z,2021-08-01T09:00:00.0000000Z,2021-08-01T08:45:12.4105910Z,2021-08-01T08:59:54.9471240Z,8.962,8.973,8.9175,8.947,1340.594276,39
2021-08-01T09:00:00.0000000Z,2021-08-01T09:15:00.0000000Z,2021-08-01T09:01:16.1880000Z,2021-08-01T09:14:47.1559500Z,8.96,9.001,8.953,8.959,16797.301401,133
2021-08-01T09:15:00.0000000Z,2021-08-01T09:30:00.0000000Z,2021-08-01T09:15:17.7918040Z,2021-08-01T09:29:43.9559350Z,8.979,9.006,8.9569,8.96,1033.516019,28
2021-08-01T09:30:00.0000000Z,2021-08-01T09:45:00.0000000Z,2021-08-01T09:31:45.2494600Z,2021-08-01T09:43:14.7315940Z,8.973,8.991,8.954,8.988,7494.623209,243
2021-08-01T09:45:00.0000000Z,2021-08-01T10:00:00.0000000Z,2021-08-01T09:45:06.4081850Z,2021-08-01T09:58:48.5765020Z,8.998,9.004,8.975,9.004,1430.41221696,36
2021-08-01T10:00:00.0000000Z,2021-08-01T10:15:00.0000000Z,2021-08-01T10:00:04.5676840Z,2021-08-01T10:14:51.0086450Z,9,9.003,8.969,8.991,15795.47,133
2021-08-01T10:15:00.0000000Z,2021-08-01T10:30:00.0000000Z,2021-08-01T10:15:20.8735060Z,2021-08-01T10:29:31.4742930Z,8.991,8.997,8.896,8.942,17840.156776,145
2021-08-01T10:30:00.0000000Z,2021-08-01T10:45:00.0000000Z,2021-08-01T10:30:01.2755670Z,2021-08-01T10:44:24.3680000Z,8.943,8.964,8.906,8.9198,20929.316371,187
2021-08-01T10:45:00.0000000Z,2021-08-01T11:00:00.0000000Z,2021-08-01T10:46:15.2937590Z,2021-08-01T10:59:55.5459740Z,8.904,8.917,8.779,8.838,28087.129154,298
