time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-22T00:00:00.0000000Z,2021-08-22T00:15:00.0000000Z,2021-08-22T00:00:15.3800000Z,2021-08-22T00:14:46.2850000Z,7.2662,7.3817,7.266,7.3421,24497,377
2021-08-22T00:15:00.0000000Z,2021-08-22T00:30:00.0000000Z,2021-08-22T00:15:07.5900000Z,2021-08-22T00:29:57.5780000Z,7.3406,7.4337,7.2948,7.3989,16086,226
2021-08-22T00:30:00.0000000Z,2021-08-22T00:45:00.0000000Z,2021-08-22T00:30:12.5870000Z,2021-08-22T00:44:58.4140000Z,7.4155,7.4232,7.3665,7.404,14924,210
2021-08-22T00:45:00.0000000Z,2021-08-22T01:00:00.0000000Z,2021-08-22T00:45:01.2440000Z,2021-08-22T00:59:53.5890000Z,7.4078,7.4178,7.336,7.3686,17705,197
2021-08-22T01:00:00.0000000Z,2021-08-22T01:15:00.0000000Z,2021-08-22T01:00:01.3620000Z,2021-08-22T01:14:59.5930000Z,7.3723,7.3738,7.3338,7.3426,13462,132
2021-08-22T01:15:00.0000000Z,2021-08-22T01:30:00.0000000Z,2021-08-22T01:15:12.5970000Z,2021-08-22T01:29:56.9470000Z,7.3339,7.3823,7.3339,7.382,11337,119
2021-08-22T01:30:00.0000000Z,2021-08-22T01:45:00.0000000Z,2021-08-22T01:30:11.1930000Z,2021-08-22T01:44:47.4880000Z,7.3809,7.3977,7.3693,7.3844,12251,168
2021-08-22T01:45:00.0000000Z,2021-08-22T02:00:00.0000000Z,2021-08-22T01:45:03.4860000Z,2021-08-22T01:59:45.2890000Z,7.3849,7.4007,7.3728,7.3863,11586,145
2021-08-22T02:00:00.0000000Z,2021-08-22T02:15:00.0000000Z,2021-08-22T02:00:01.2460000Z,2021-08-22T02:14:59.4920000Z,7.3829,7.3906,7.3583,7.3645,11637,140
2021-08-22T02:15:00.0000000Z,2021-08-22T02:30:00.0000000Z,2021-08-22T02:15:08.3950000Z,2021-08-22T02:29:52.7930000Z,7.373,7.377,7.2941,7.2995,13360,196
2021-08-22T02:30:00.0000000Z,2021-08-22T02:45:00.0000000Z,2021-08-22T02:30:04.7030000Z,2021-08-22T02:44:59.4770000Z,7.2929,7.2978,7.2627,7.2687,14225,196
2021-08-22T02:45:00.0000000Z,2021-08-22T03:00:00.0000000Z,2021-08-22T02:45:00.7440000Z,2021-08-22T02:59:58.4530000Z,7.2684,7.3288,7.2626,7.2974,14036,147
2021-08-22T03:00:00.0000000Z,2021-08-22T03:15:00.0000000Z,2021-08-22T03:00:03.1710000Z,2021-08-22T03:14:58.4920000Z,7.2927,7.3277,7.2789,7.2906,12341,131
2021-08-22T03:15:00.0000000Z,2021-08-22T03:30:00.0000000Z,2021-08-22T03:15:12.4880000Z,2021-08-22T03:29:54.6910000Z,7.2886,7.3106,7.2203,7.2345,13039,153
2021-08-22T03:30:00.0000000Z,2021-08-22T03:45:00.0000000Z,2021-08-22T03:30:02.7700000Z,2021-08-22T03:44:58.1940000Z,7.2314,7.2763,7.2182,7.2709,16759,186
2021-08-22T03:45:00.0000000Z,2021-08-22T04:00:00.0000000Z,2021-08-22T03:45:06.7620000Z,2021-08-22T03:59:58.8830000Z,7.2696,7.29,7.2416,7.2662,10250,159
2021-08-22T04:00:00.0000000Z,2021-08-22T04:15:00.0000000Z,2021-08-22T04:00:00.2990000Z,2021-08-22T04:14:57.0190000Z,7.2689,7.325,7.2644,7.3141,13597,156
2021-08-22T04:15:00.0000000Z,2021-08-22T04:30:00.0000000Z,2021-08-22T04:15:11.4930000Z,2021-08-22T04:29:45.6920000Z,7.317,7.3481,7.304,7.3307,10474,149
2021-08-22T04:30:00.0000000Z,2021-08-22T04:45:00.0000000Z,2021-08-22T04:30:01.7090000Z,2021-08-22T04:44:55.9500000Z,7.3312,7.3356,7.2966,7.3148,12758,167
2021-08-22T04:45:00.0000000Z,2021-08-22T05:00:00.0000000Z,2021-08-22T04:45:05.7920000Z,2021-08-22T04:59:57.9910000Z,7.3141,7.3743,7.2926,7.3708,14009,148
2021-08-22T05:00:00.0000000Z,2021-08-22T05:15:00.0000000Z,2021-08-22T05:00:00.9790000Z,2021-08-22T05:14:58.1930000Z,7.3702,7.3702,7.317,7.326,10140,127
2021-08-22T05:15:00.0000000Z,2021-08-22T05:30:00.0000000Z,2021-08-22T05:15:10.2070000Z,2021-08-22T05:29:51.2930000Z,7.3296,7.3296,7.2918,7.3031,12915,142
2021-08-22T05:30:00.0000000Z,2021-08-22T05:45:00.0000000Z,2021-08-22T05:30:14.2890000Z,2021-08-22T05:44:57.4900000Z,7.2979,7.3222,7.2799,7.3165,13005,125
2021-08-22T05:45:00.0000000Z,2021-08-22T06:00:00.0000000Z,2021-08-22T05:45:07.0950000Z,2021-08-22T05:59:57.9840000Z,7.319,7.4019,7.3133,7.3629,35281,299
2021-08-22T06:00:00.0000000Z,2021-08-22T06:15:00.0000000Z,2021-08-22T06:00:00.2430000Z,2021-08-22T06:14:57.6900000Z,7.3614,7.3873,7.355,7.3853,14904,158
2021-08-22T06:15:00.0000000Z,2021-08-22T06:30:00.0000000Z,2021-08-22T06:15:11.6930000Z,2021-08-22T06:29:59.2720000Z,7.3868,7.4047,7.377,7.3806,12293,136
2021-08-22T06:30:00.0000000Z,2021-08-22T06:45:00.0000000Z,2021-08-22T06:30:00.2880000Z,2021-08-22T06:44:57.4180000Z,7.3806,7.4239,7.3806,7.4087,12057,151
2021-08-22T06:45:00.0000000Z,2021-08-22T07:00:00.0000000Z,2021-08-22T06:45:06.4930000Z,2021-08-22T06:59:59.5060000Z,7.4098,7.4208,7.4003,7.417,9011,131
2021-08-22T07:00:00.0000000Z,2021-08-22T07:15:00.0000000Z,2021-08-22T07:00:08.8870000Z,2021-08-22T07:14:57.3980000Z,7.4249,7.4337,7.3953,7.3968,13581,128
2021-08-22T07:15:00.0000000Z,2021-08-22T07:30:00.0000000Z,2021-08-22T07:15:11.1870000Z,2021-08-22T07:29:55.3510000Z,7.3973,7.4294,7.3948,7.4058,15427,125
2021-08-22T07:30:00.0000000Z,2021-08-22T07:45:00.0000000Z,2021-08-22T07:30:01.6080000Z,2021-08-22T07:44:58.3730000Z,7.4036,7.4067,7.3865,7.3919,9131,110
2021-08-22T07:45:00.0000000Z,2021-08-22T08:00:00.0000000Z,2021-08-22T07:45:02.7870000Z,2021-08-22T07:59:54.1930000Z,7.3907,7.4141,7.3907,7.4001,10486,124
2021-08-22T08:00:00.0000000Z,2021-08-22T08:15:00.0000000Z,2021-08-22T08:00:14.8140000Z,2021-08-22T08:14:57.0230000Z,7.4039,7.5029,7.4032,7.4438,29079,434
2021-08-22T08:15:00.0000000Z,2021-08-22T08:30:00.0000000Z,2021-08-22T08:15:18.1560000Z,2021-08-22T08:29:56.5180000Z,7.4379,7.444,7.3598,7.3903,28019,352
2021-08-22T08:30:00.0000000Z,2021-08-22T08:45:00.0000000Z,2021-08-22T08:30:01.8920000Z,2021-08-22T08:44:56.3920000Z,7.3849,7.4213,7.3826,7.4113,9200,198
2021-08-22T08:45:00.0000000Z,2021-08-22T09:00:00.0000000Z,2021-08-22T08:45:04.2480000Z,2021-08-22T08:59:57.8530000Z,7.4134,7.4206,7.3829,7.3924,13996,177
2021-08-22T09:00:00.0000000Z,2021-08-22T09:15:00.0000000Z,2021-08-22T09:00:17.8910000Z,2021-08-22T09:14:41.2910000Z,7.4184,7.4783,7.4095,7.4419,18685,256
2021-08-22T09:15:00.0000000Z,2021-08-22T09:30:00.0000000Z,2021-08-22T09:15:00.5400000Z,2021-08-22T09:29:56.9220000Z,7.437,7.4533,7.4191,7.4302,10129,113
2021-08-22T09:30:00.0000000Z,2021-08-22T09:45:00.0000000Z,2021-08-22T09:30:10.6870000Z,2021-08-22T09:44:56.2400000Z,7.4311,7.4353,7.42,7.4279,12245,121
